Net_name,cc_0,cc_1,Obs,Org_Net_name
n466,2,4,13,n466
n467,3,2,10,n467
n468,1,4,12,n468
n469,9,2,6,n469
G1895,2,2,0,G1895
n470,15,1,1,n470
n471,2,1,1,n471
n472,1,2,1,n472
n473,1,14,2,n473
G9,1,1,2,G9
n474,11,1,5,n474
G1894,2,2,0,G1894
n475,1,2,1,n475
n476,1,15,1,n476
G8,1,1,2,G8
n477,14,1,2,n477
n478,1,14,2,n478
n479,1,1,2,n479
G1893,2,2,0,G1893
n480,1,2,1,n480
n481,1,15,1,n481
G7,1,1,2,G7
n482,1,1,2,n482
G1892,2,2,0,G1892
n483,1,2,1,n483
n484,1,15,1,n484
G6,1,1,2,G6
n485,1,1,2,n485
G1891,2,2,0,G1891
n486,1,2,1,n486
n487,1,15,1,n487
G5,1,1,2,G5
n488,1,1,2,n488
n489,3,2,10,n489
n490,1,9,7,n490
n491,7,4,6,n491
G1890,3,2,0,G1890
n492,1,3,1,n492
n493,1,12,1,n493
G16,1,1,3,G16
n494,1,1,3,n494
G1889,3,2,0,G1889
n495,1,3,1,n495
n496,1,12,1,n496
G15,1,1,3,G15
n497,1,1,3,n497
G1888,3,2,0,G1888
n498,1,3,1,n498
n499,1,12,1,n499
G10,1,1,3,G10
n500,1,1,3,n500
n501,8,4,5,n501
n502,1,4,11,n502
n503,1,3,11,n503
n504,3,1,12,n504
G1887,3,2,0,G1887
n505,1,3,1,n505
n506,1,12,1,n506
G4,1,1,3,G4
n507,1,1,3,n507
G1886,3,2,0,G1886
n508,1,3,1,n508
n509,1,12,1,n509
G3,1,1,3,G3
n510,1,1,3,n510
G1885,3,2,0,G1885
n511,1,3,1,n511
n512,1,12,1,n512
G2,1,1,3,G2
n513,1,1,3,n513
G1884,3,2,0,G1884
n514,1,3,1,n514
n515,1,12,1,n515
G1,1,1,3,G1
n516,1,1,3,n516
n517,1,4,11,n517
n518,1,2,13,n518
n519,1,1,14,n519
G23,1,1,14,G23
n520,1,2,13,n520
n521,2,1,14,n521
G24,1,1,14,G24
n522,1,1,15,n522
G31,1,1,14,G31
n523,4,8,5,n523
n524,1,10,14,n524
n525,1,2,14,n525
n526,2,1,14,n526
n527,9,1,15,n527
n528,1,1,15,n528
n529,9,3,6,n529
n530,8,3,6,n530
n531,3,8,6,n531
n532,3,3,11,n532
n533,5,6,9,n533
n534,2,3,12,n534
n535,1,4,13,n535
n536,2,1,14,n536
n537,2,2,13,n537
n538,3,2,12,n538
n539,2,1,14,n539
n540,2,1,14,n540
n541,7,2,12,n541
n542,6,3,11,n542
n543,3,2,14,n543
n544,2,3,13,n544
G20,1,1,15,G20
n545,2,1,15,n545
n546,2,7,8,n546
n547,6,2,9,n547
n548,1,2,14,n548
G18,1,1,15,G18
n549,2,1,15,n549
n550,2,7,8,n550
n551,6,2,13,n551
n552,1,6,14,n552
n553,1,9,14,n553
n554,2,1,21,n554
n555,5,1,15,n555
n556,9,2,5,n556
n557,7,2,5,n557
n558,2,7,5,n558
n559,2,2,10,n559
n560,5,7,7,n560
n561,1,3,11,n561
n562,1,2,11,n562
n563,2,1,11,n563
n564,2,1,12,n564
n565,8,3,9,n565
n566,7,2,10,n566
n567,2,3,14,n567
n568,6,4,13,n568
n569,3,2,15,n569
n570,7,2,7,n570
n571,6,2,7,n571
n572,2,2,11,n572
n573,5,4,9,n573
n574,4,5,9,n574
n575,2,2,12,n575
n576,2,1,12,n576
n577,2,1,12,n577
n578,5,2,11,n578
n579,5,2,11,n579
n580,2,3,13,n580
n581,3,2,13,n581
n582,3,1,14,n582
n583,3,1,14,n583
n584,2,2,15,n584
n585,2,2,15,n585
n586,2,1,16,n586
n587,2,1,16,n587
n588,1,1,15,n588
n589,1,2,14,n589
n590,2,3,12,n590
n591,8,3,12,n591
n592,1,9,14,n592
n593,2,8,13,n593
n594,8,1,14,n594
n595,8,1,14,n595
n596,1,7,15,n596
n597,7,1,15,n597
G19,1,1,15,G19
n598,4,7,15,n598
n599,9,1,14,n599
G27,1,1,18,G27
n600,1,7,14,n600
n601,2,2,13,n601
n602,6,1,14,n602
n603,2,1,14,n603
n604,4,1,15,n604
n605,1,2,17,n605
n606,1,2,17,n606
G28,1,1,18,G28
n607,5,5,15,n607
n608,8,2,18,n608
n609,5,3,17,n609
n610,2,6,18,n610
n611,1,5,19,n611
n612,8,2,17,n612
n613,7,2,17,n613
n614,4,1,12,n614
n615,2,1,12,n615
n616,3,1,13,n616
n617,1,3,13,n617
n618,1,2,14,n618
G17,1,1,15,G17
n619,7,2,10,n619
n620,6,3,9,n620
n621,5,2,11,n621
n622,4,2,11,n622
n623,2,2,13,n623
n624,3,2,13,n624
n625,2,3,13,n625
n626,2,2,14,n626
n627,2,1,14,n627
n628,2,1,14,n628
n629,4,1,14,n629
n630,3,1,14,n630
n631,3,1,15,n631
n632,3,1,15,n632
n633,2,2,16,n633
n634,2,2,16,n634
n635,2,1,17,n635
n636,2,1,17,n636
n637,3,1,14,n637
n638,3,1,14,n638
n639,2,2,15,n639
n640,2,2,15,n640
n641,2,1,16,n641
n642,2,1,16,n642
n643,1,2,23,n643
n644,6,3,5,n644
n645,7,2,6,n645
n646,2,7,6,n646
n647,3,2,9,n647
n648,4,4,7,n648
n649,1,3,10,n649
n650,1,3,10,n650
n651,2,2,11,n651
n652,2,2,11,n652
n653,2,1,12,n653
n654,2,1,12,n654
n655,4,2,9,n655
n656,5,2,9,n656
n657,2,3,11,n657
n658,2,2,11,n658
n659,2,4,9,n659
n660,1,4,12,n660
n661,1,2,12,n661
n662,1,3,13,n662
n663,3,1,13,n663
n664,1,2,14,n664
n665,2,1,23,n665
n666,1,9,19,n666
n667,1,8,19,n667
n668,4,8,7,n668
n669,4,8,7,n669
n670,8,4,7,n670
n671,4,4,11,n671
n672,4,4,11,n672
n673,4,2,13,n673
n674,4,2,13,n674
n675,2,2,15,n675
n676,2,2,15,n676
n677,2,4,13,n677
n678,2,1,16,n678
n679,2,1,16,n679
n680,2,2,15,n680
n681,2,1,16,n681
n682,2,1,16,n682
n683,2,4,13,n683
n684,2,5,13,n684
n685,5,2,13,n685
n686,2,2,15,n686
n687,3,1,12,n687
n688,3,1,12,n688
n689,1,2,12,n689
n690,1,2,12,n690
n691,2,1,12,n691
n692,1,4,16,n692
n693,1,2,16,n693
n694,1,3,17,n694
n695,3,1,17,n695
n696,7,1,14,n696
n697,3,7,6,n697
n698,3,7,6,n698
n699,7,3,6,n699
n700,4,4,9,n700
n701,3,3,10,n701
n702,4,2,11,n702
n703,4,2,11,n703
n704,2,2,13,n704
n705,2,2,13,n705
n706,2,4,11,n706
n707,2,1,14,n707
n708,2,1,14,n708
n709,2,2,13,n709
n710,2,1,14,n710
n711,2,1,14,n711
n712,2,3,11,n712
n713,1,5,12,n713
n714,3,1,13,n714
n715,2,2,12,n715
n716,3,2,11,n716
n717,2,1,13,n717
n718,2,1,13,n718
