Net_name,cc0,cc1
G56,1,1,G56
G2570,4,2,G2570
n474,3,1,n474
G34,1,1,G34
n473,3,1,n473
G45,1,1,G45
n480,2,3,n480
n478,3,1,n478
G66,1,1,G66
n477,3,1,n477
G55,1,1,G55
n479,2,3,n479
G2571,4,3,G2571
n491,4,1,n491
n483,8,6,n483
n482,8,6,n482
n484,12,14,n484
n485,16,14,n485
n487,18,17,n487
n486,6,8,n486
n708,26,23,n708
n489,27,24,n489
n490,25,1,n490
n492,1,2,n492
G2,1,1,G2
G11,1,1,G11
G2548,3,1,G2548
n730,1,2,n730
G146,1,1,G146
G145,1,1,G145
n494,3,1,n494
G107,1,1,G107
n495,1,1,n495
n731,1,2,n731
n493,3,1,n493
G77,1,1,G77
n499,2,3,n499
n726,1,2,n726
n497,3,1,n497
G97,1,1,G97
n727,1,2,n727
n496,3,1,n496
G87,1,1,G87
n498,2,3,n498
n742,3,4,n742
n500,4,4,n500
G143,1,1,G143
G2580,5,1,G2580
G144,1,1,G144
n502,1,2,n502
n501,1,2,n501
n506,4,1,n506
n504,1,2,n504
n503,1,2,n503
n505,4,1,n505
n508,2,1,n508
n507,2,1,n507
G2556,2,2,G2556
n509,1,3,n509
n764,1,4,n764
G116,1,1,G116
G2564,5,1,G2564
G28,1,1,G28
n511,3,1,n511
G110,1,1,G110
n510,3,1,n510
G80,1,1,G80
n515,2,3,n515
n513,3,1,n513
G100,1,1,G100
n512,3,1,n512
G90,1,1,G90
n514,2,3,n514
G2559,3,4,G2559
n517,3,1,n517
G109,1,1,G109
n516,3,1,n516
G79,1,1,G79
n521,2,3,n521
n519,3,1,n519
G99,1,1,G99
n518,3,1,n518
G89,1,1,G89
n520,2,3,n520
G2557,3,4,G2557
n523,3,1,n523
G112,1,1,G112
n522,3,1,n522
G82,1,1,G82
n527,2,3,n527
n525,3,1,n525
G102,1,1,G102
n524,3,1,n524
G92,1,1,G92
n526,2,3,n526
n737,3,4,n737
n632,4,1,n632
G138,1,1,G138
n529,3,1,n529
G113,1,1,G113
n528,3,1,n528
G83,1,1,G83
n533,2,3,n533
n531,3,1,n531
G103,1,1,G103
n530,3,1,n530
G93,1,1,G93
n532,2,3,n532
n746,3,4,n746
n712,1,1,n712
G136,1,1,G136
n534,5,1,n534
n535,2,4,n535
n547,1,4,n547
G127,1,1,G127
n545,5,1,n545
G30,1,1,G30
n617,1,6,n617
n616,10,1,n616
n543,4,1,n543
n537,3,1,n537
G95,1,1,G95
n536,3,1,n536
G85,1,1,G85
n541,2,3,n541
n539,3,1,n539
G105,1,1,G105
n538,3,1,n538
G75,1,1,G75
n540,2,3,n540
n738,4,3,n738
n542,4,1,n542
G135,1,1,G135
n544,2,4,n544
n614,10,1,n614
n546,1,5,n546
n570,9,1,n570
n571,1,9,n571
n581,10,1,n581
G8,1,1,G8
n548,4,5,n548
n601,1,14,n601
n602,2,1,n602
n591,3,1,n591
G131,1,1,G131
n589,1,10,n589
n549,10,1,n549
n588,2,3,n588
n550,2,1,n550
G125,1,1,G125
n552,5,2,n552
n555,2,9,n555
n551,9,3,n551
n554,4,1,n554
G126,1,1,G126
n553,5,4,n553
n562,5,4,n562
n559,10,1,n559
n557,4,1,n557
n719,1,1,n719
n558,2,1,n558
n560,2,2,n560
n561,1,11,n561
n565,4,6,n565
n569,8,3,n569
n564,2,1,n564
G128,1,1,G128
n563,10,1,n563
n567,2,2,n567
n566,9,4,n566
n568,6,2,n568
n575,5,6,n575
n573,2,1,n573
G129,1,1,G129
n572,10,1,n572
n574,2,2,n574
n578,7,2,n578
n576,8,2,n576
n577,5,4,n577
n580,6,5,n580
n579,5,1,n579
n587,6,5,n587
n585,3,10,n585
n583,1,11,n583
n582,1,3,n582
G130,1,1,G130
n584,3,2,n584
n586,6,2,n586
n592,7,6,n592
n597,9,2,n597
n595,5,1,n595
n590,11,1,n590
n593,2,3,n593
n594,9,3,n594
n596,4,5,n596
n599,7,4,n599
n598,1,3,n598
G132,1,1,G132
n600,3,8,n600
n604,8,4,n604
n603,1,3,n603
G133,1,1,G133
n606,3,9,n606
n609,6,1,n609
n670,5,1,n670
G134,1,1,G134
n605,1,11,n605
n612,9,4,n612
n672,1,4,n672
n608,1,5,n608
n610,4,2,n610
n611,1,10,n611
n613,10,4,n613
n615,5,10,n615
n619,11,5,n619
n642,1,5,n642
n618,11,1,n618
G2591,6,11,G2591
n621,3,1,n621
G108,1,1,G108
n620,3,1,n620
G78,1,1,G78
n625,2,3,n625
n623,3,1,n623
G98,1,1,G98
n622,3,1,n622
G88,1,1,G88
n624,2,3,n624
G2558,3,4,G2558
n627,3,1,n627
G111,1,1,G111
n626,3,1,n626
G81,1,1,G81
n631,2,3,n631
n629,3,1,n629
G101,1,1,G101
n628,3,1,n628
G91,1,1,G91
n630,2,3,n630
n745,3,4,n745
n633,4,4,n633
n646,5,4,n646
n634,5,4,n634
n644,4,8,n644
n636,5,4,n636
n635,4,4,n635
n640,4,9,n640
n638,4,4,n638
n637,4,4,n637
n639,4,8,n639
n641,17,4,n641
n643,4,18,n643
n645,26,4,n645
n647,4,31,n647
n664,1,5,n664
G23,1,1,G23
n648,2,2,n648
G25,1,1,G25
n652,3,1,n652
G22,1,1,G22
n650,2,2,n650
G26,1,1,G26
n649,2,2,n649
G21,1,1,G21
n651,4,2,n651
n660,1,7,n660
n654,2,2,n654
G27,1,1,G27
n653,2,2,n653
G20,1,1,G20
n658,4,2,n658
n656,2,2,n656
G19,1,1,G19
n655,2,2,n655
G24,1,1,G24
n657,4,2,n657
n659,2,8,n659
n661,15,1,n661
n662,2,1,n662
n663,2,1,n663
G9,1,1,G9
n706,1,3,n706
n666,4,5,n666
n665,4,4,n665
n667,9,4,n667
n685,1,10,n685
G12,1,1,G12
n669,4,4,n669
n671,5,4,n671
n676,4,6,n676
n674,3,5,n674
n673,4,4,n673
n675,4,7,n675
n679,13,4,n679
n678,5,4,n678
n681,4,18,n681
n680,4,5,n680
n683,23,4,n683
n682,4,4,n682
n684,4,27,n684
n704,37,1,n704
n687,2,2,n687
G4,1,1,G4
n686,2,2,n686
G14,1,1,G14
n691,2,4,n691
n689,2,2,n689
G5,1,1,G5
n688,2,2,n688
G6,1,1,G6
n690,2,4,n690
n701,8,2,n701
n693,2,2,n693
G16,1,1,G16
n692,2,2,n692
G18,1,1,G18
n695,4,2,n695
n694,2,2,n694
G17,1,1,G17
n699,2,6,n699
n697,2,2,n697
G15,1,1,G15
n696,2,2,n696
G13,1,1,G13
n698,2,4,n698
n700,10,2,n700
n702,2,18,n702
n703,19,1,n703
n705,2,19,n705
n707,6,8,n707
n709,34,29,n709
G2590,35,1,G2590
G29,1,1,G29
n711,2,2,n711
G156,1,1,G156
n710,2,2,n710
n714,4,4,n714
n713,2,2,n713
n718,6,6,n718
n716,2,2,n716
n715,2,2,n715
n717,4,4,n717
G2583,10,10,G2583
n721,2,2,n721
G157,1,1,G157
n720,2,2,n720
n725,4,4,n725
n723,2,2,n723
n722,2,2,n722
n724,4,4,n724
G2582,8,8,G2582
n729,3,1,n729
G104,1,1,G104
n728,3,1,n728
G94,1,1,G94
n735,2,3,n735
n733,3,1,n733
G114,1,1,G114
n732,3,1,n732
G84,1,1,G84
n734,2,3,n734
n736,3,4,n736
n741,6,7,n741
n739,6,7,n739
n740,9,10,n740
n744,15,16,n744
n743,6,7,n743
n748,21,22,n748
n747,7,6,n747
n749,27,28,n749
G2587,28,1,G2587
n751,2,2,n751
G149,1,1,G149
G148,1,1,G148
n750,2,2,n750
G153,1,1,G153
G152,1,1,G152
n755,4,4,n755
n753,2,2,n753
G155,1,1,G155
G154,1,1,G154
n752,2,2,n752
G150,1,1,G150
n754,4,4,n754
n757,8,8,n757
n756,2,2,n756
G151,1,1,G151
n758,10,10,n758
G2581,11,1,G2581
G10,1,1,G10
n759,8,18,n759
n760,19,8,n760
n761,2,21,n761
n762,2,22,n762
n763,2,1,n763
G1,1,1,G1
G3,1,1,G3
G2565,5,1,G2565
