Net_name,cc_0,cc_1,Obs,Org_Net_name
G30,1,1,15,G30
n617,1,6,10,n617
n616,10,1,11,n616
n543,4,1,13,n543
n537,3,1,17,n537
G95,1,1,19,G95
n536,3,1,17,n536
G85,1,1,19,G85
n541,2,3,16,n541
n539,3,1,17,n539
G105,1,1,19,G105
n538,3,1,17,n538
G75,1,1,19,G75
n540,2,3,16,n540
n738,4,3,14,n738
n542,4,1,13,n542
G135,1,1,9,G135
n544,2,4,12,n544
n614,10,1,6,n614
n546,1,5,18,n546
n570,9,1,14,n570
n571,1,9,14,n571
n581,10,1,13,n581
G8,1,1,15,G8
n548,4,5,19,n548
n601,1,14,9,n601
n602,2,1,14,n602
n591,3,1,19,n591
G131,1,1,9,G131
n589,1,10,20,n589
n549,10,1,20,n549
n588,2,3,19,n588
n550,2,1,37,n550
G125,1,1,10,G125
n552,5,2,33,n552
n555,2,9,35,n555
n551,9,3,34,n551
n554,4,1,33,n554
G126,1,1,10,G126
n553,5,4,30,n553
n562,5,4,29,n562
n559,10,1,43,n559
n557,4,1,44,n557
n719,1,1,7,n719
n558,2,1,43,n558
n560,2,2,42,n560
n561,1,11,33,n561
n565,4,6,28,n565
n569,8,3,24,n569
n564,2,1,30,n564
G128,1,1,9,G128
n563,10,1,30,n563
n567,2,2,29,n567
n566,9,4,27,n566
n568,6,2,25,n568
n575,5,6,22,n575
n573,2,1,26,n573
G129,1,1,9,G129
n572,10,1,26,n572
n574,2,2,25,n574
n578,7,2,20,n578
n576,8,2,21,n576
n577,5,4,18,n577
n580,6,5,16,n580
n579,5,1,20,n579
n587,6,5,15,n587
n585,3,10,21,n585
n583,1,11,22,n583
n582,1,3,22,n582
G130,1,1,9,G130
n584,3,2,21,n584
n586,6,2,18,n586
n592,7,6,13,n592
n597,9,2,13,n597
n595,5,1,13,n595
n590,11,1,19,n590
n593,2,3,18,n593
n594,9,3,11,n594
n596,4,5,10,n596
n599,7,4,8,n599
n598,1,3,14,n598
G132,1,1,9,G132
n600,3,8,7,n600
n604,8,4,6,n604
n603,1,3,13,n603
G133,1,1,9,G133
n606,3,9,5,n606
n609,6,1,12,n609
n670,5,1,13,n670
G134,1,1,9,G134
n605,1,11,7,n605
n612,9,4,4,n612
n672,1,4,19,n672
n608,1,5,19,n608
n610,4,2,18,n610
n611,1,10,12,n611
n613,10,4,3,n613
n615,5,10,2,n615
n619,11,5,1,n619
n642,1,5,11,n642
n618,11,1,5,n618
G2591,6,11,0,G2591
n621,3,1,3,n621
G108,1,1,5,G108
n620,3,1,3,n620
G78,1,1,5,G78
n625,2,3,2,n625
n623,3,1,3,n623
G98,1,1,5,G98
n622,3,1,3,n622
G88,1,1,5,G88
n624,2,3,2,n624
G2558,3,4,0,G2558
n627,3,1,28,n627
G111,1,1,30,G111
n626,3,1,28,n626
G81,1,1,30,G81
n631,2,3,27,n631
n629,3,1,28,n629
G101,1,1,30,G101
n628,3,1,28,n628
G91,1,1,30,G91
n630,2,3,27,n630
n745,3,4,25,n745
n633,4,4,49,n633
n646,5,4,48,n646
n634,5,4,48,n634
n644,4,8,45,n644
n636,5,4,48,n636
n635,4,4,49,n635
n640,4,9,44,n640
n638,4,4,49,n638
n637,4,4,49,n637
n639,4,8,45,n639
n641,17,4,36,n641
n643,4,18,35,n643
n645,26,4,27,n645
n647,4,31,22,n647
n664,1,5,21,n664
G23,1,1,22,G23
n648,2,2,35,n648
G25,1,1,36,G25
n652,3,1,34,n652
G22,1,1,36,G22
n650,2,2,35,n650
G26,1,1,36,G26
n649,2,2,35,n649
G21,1,1,36,G21
n651,4,2,33,n651
n660,1,7,30,n660
n654,2,2,35,n654
G27,1,1,36,G27
n653,2,2,35,n653
G20,1,1,36,G20
n658,4,2,33,n658
n656,2,2,35,n656
G19,1,1,36,G19
n655,2,2,35,n655
G24,1,1,36,G24
n657,4,2,33,n657
n659,2,8,29,n659
n661,15,1,22,n661
n662,2,1,21,n662
n663,2,1,20,n663
G9,1,1,21,G9
n706,1,3,19,n706
n666,4,5,36,n666
n665,4,4,37,n665
n667,9,4,32,n667
n685,1,10,31,n685
G12,1,1,22,G12
n669,4,4,37,n669
n671,5,4,36,n671
n676,4,6,35,n676
n674,3,5,38,n674
n673,4,4,37,n673
n675,4,7,34,n675
n679,13,4,28,n679
n678,5,4,36,n678
n681,4,18,23,n681
n680,4,5,36,n680
n683,23,4,18,n683
n682,4,4,37,n682
n684,4,27,14,n684
n704,37,1,4,n704
n687,2,2,21,n687
G4,1,1,22,G4
n686,2,2,21,n686
G14,1,1,22,G14
n691,2,4,19,n691
n689,2,2,21,n689
G5,1,1,22,G5
n688,2,2,21,n688
G6,1,1,22,G6
n690,2,4,19,n690
n701,8,2,15,n701
n693,2,2,21,n693
G16,1,1,22,G16
n692,2,2,21,n692
G18,1,1,22,G18
n695,4,2,19,n695
n694,2,2,21,n694
G17,1,1,22,G17
n699,2,6,17,n699
n697,2,2,21,n697
G15,1,1,22,G15
n696,2,2,21,n696
G13,1,1,22,G13
n698,2,4,19,n698
n700,10,2,13,n700
n702,2,18,5,n702
n703,19,1,4,n703
n705,2,19,3,n705
n707,6,8,24,n707
n709,34,29,1,n709
G2590,35,1,0,G2590
G29,1,1,27,G29
n711,2,2,8,n711
G156,1,1,9,G156
n710,2,2,8,n710
n714,4,4,6,n714
n713,2,2,8,n713
n718,6,6,4,n718
n716,2,2,8,n716
n715,2,2,8,n715
n717,4,4,6,n717
G2583,10,10,0,G2583
n721,2,2,6,n721
G157,1,1,7,G157
n720,2,2,6,n720
n725,4,4,4,n725
n723,2,2,6,n723
n722,2,2,6,n722
n724,4,4,4,n724
G2582,8,8,0,G2582
n729,3,1,28,n729
G104,1,1,30,G104
n728,3,1,28,n728
G94,1,1,30,G94
n735,2,3,27,n735
n733,3,1,28,n733
G114,1,1,30,G114
n732,3,1,28,n732
G84,1,1,30,G84
n734,2,3,27,n734
n736,3,4,25,n736
n741,6,7,22,n741
n739,6,7,22,n739
n740,9,10,19,n740
n744,15,16,13,n744
n743,6,7,22,n743
n748,21,22,7,n748
n747,7,6,22,n747
n749,27,28,1,n749
G2587,28,1,0,G2587
n751,2,2,9,n751
G149,1,1,10,G149
G148,1,1,10,G148
n750,2,2,9,n750
G153,1,1,10,G153
G152,1,1,10,G152
n755,4,4,7,n755
n753,2,2,9,n753
G155,1,1,10,G155
G154,1,1,10,G154
n752,2,2,9,n752
G150,1,1,10,G150
n754,4,4,7,n754
n757,8,8,3,n757
n756,2,2,9,n756
G151,1,1,10,G151
n758,10,10,1,n758
G2581,11,1,0,G2581
G10,1,1,10,G10
n759,8,18,5,n759
n760,19,8,4,n760
n761,2,21,2,n761
n762,2,22,1,n762
n763,2,1,4,n763
G1,1,1,5,G1
G3,1,1,5,G3
G2565,5,1,0,G2565
